Linux 3.2.0-30-virtual (14f431ee-8e10-439a-8a04-f57f71d97a86) 	12/07/2013 	_x86_64_	(4 CPU)

12:37:31 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:06:21 PM     all      0.75      0.00      0.35      0.50      0.00     98.39
01:06:26 PM     all      1.51      0.00      0.50      0.15      0.00     97.84
01:06:31 PM     all      0.75      0.00      0.20      0.55      0.00     98.49
01:06:36 PM     all      0.65      0.00      0.35      0.15      0.00     98.85
01:06:41 PM     all      0.50      0.00      0.30      0.15      0.00     99.05
01:06:46 PM     all      0.60      0.00      0.30      0.50      0.00     98.60
01:06:51 PM     all      0.80      0.00      0.25      0.15      0.00     98.80
01:06:56 PM     all      2.57      0.00      0.76      0.55      0.00     96.12
01:07:01 PM     all      1.26      0.00      0.55      0.35      0.00     97.84
01:07:06 PM     all      0.55      0.00      0.30      0.25      0.00     98.90
01:07:11 PM     all      1.01      0.00      0.40      0.15      0.00     98.44
01:07:16 PM     all      0.85      0.00      0.25      0.35      0.00     98.54
01:07:21 PM     all      0.65      0.00      0.30      0.15      0.00     98.90
01:07:26 PM     all      0.65      0.00      0.15      0.60      0.00     98.59
01:07:31 PM     all      1.36      0.00      0.25      0.10      0.00     98.29
01:07:36 PM     all      1.00      0.00      0.35      0.40      0.00     98.24
01:07:41 PM     all      0.70      0.00      0.25      0.15      0.00     98.90
01:07:46 PM     all      0.50      0.00      0.25      0.30      0.00     98.95
01:07:51 PM     all      0.60      0.00      0.30      0.10      0.00     98.99
01:07:56 PM     all      2.42      0.00      0.81      0.50      0.00     96.27
01:08:01 PM     all      0.55      0.00      0.15      0.10      0.00     99.19
01:08:06 PM     all      1.66      0.00      0.55      0.40      0.00     97.39
01:08:11 PM     all      0.81      0.00      0.46      0.10      0.00     98.63
01:08:16 PM     all      0.65      0.00      0.30      0.40      0.00     98.65
01:08:21 PM     all      0.60      0.00      0.40      0.20      0.00     98.79
01:08:26 PM     all      0.75      0.00      0.30      0.75      0.00     98.19
01:08:31 PM     all      0.70      0.00      0.20      0.15      0.00     98.94
01:08:36 PM     all      0.75      0.00      0.30      0.40      0.00     98.54
01:08:41 PM     all      1.46      0.00      0.40      0.10      0.00     98.04
01:08:46 PM     all      0.45      0.00      0.20      0.25      0.00     99.10
01:08:51 PM     all      0.80      0.00      0.25      0.25      0.00     98.70
